source_url,status,source_slug,field,paragraph_idx,target_url,action,insertion_type,anchor,original_sentence,new_sentence,reasoning,validation_error
/site/blog/60-marks-in-jee-mains-percentile,planned,60-marks-in-jee-mains-percentile,post-body,8.0,/site/blog/college-predictor-jee-mains,insert,bridge,JEE Main college predictor,"But if you are looking to join a college with 60 percentile, check out the  top colleges accepting less than 70 percentile in JEE Mains  and shortlist a college based on your preferences.","But if you are looking to join a college with 60 percentile, check out the  top colleges accepting less than 70 percentile in JEE Mains  and shortlist a college based on your preferences, or use the [JEE Main college predictor](/site/blog/college-predictor-jee-mains).","Appended after a comma at the sentence's end boundary, before the period, keeping all original words intact and adding a naturally parallel option.",
/site/blog/80-percentile-in-jee-mains,llm-skipped,80-percentile-in-jee-mains,,,/site/blog/60-marks-in-jee-mains-percentile,skip,bridge,,,,No eligible paragraph naturally discusses 60 marks as a concept; inserting would be category-adjacent at best and forced.,
/site/blog/80-percentile-in-jee-mains,planned,80-percentile-in-jee-mains,post-body,5.0,/site/blog/100-marks-in-jee-mains-percentile,insert,bridge,percentile score might translate to actual marks,"When preparing for JEE Main 2026, it's helpful to know how your percentile score might translate to actual marks.","When preparing for JEE Main 2026, it's helpful to know how your [percentile score might translate to actual marks](/site/blog/100-marks-in-jee-mains-percentile).",Wraps an existing phrase with zero added visible characters.,
/site/blog/80-percentile-in-jee-mains,planned,80-percentile-in-jee-mains,post-body,8.0,/site/blog/80-marks-in-jee-mains,insert,bridge,76 marks,Scores between 55 to 76 marks often land you here.,Scores between 55 to [76 marks](/site/blog/80-marks-in-jee-mains) often land you here.,Wraps an existing phrase near-zero added characters; 80 marks page is directly adjacent to this bracket.,
/site/blog/80-percentile-in-jee-mains,planned,80-percentile-in-jee-mains,post-body,10.0,/site/blog/60-marks-in-jee-mains-percentile,insert,bridge,1 to 42 marks,Candidates in this group usually score 1 to 42 marks.,Candidates in this group usually score [1 to 42 marks](/site/blog/60-marks-in-jee-mains-percentile).,Wraps existing phrase; the 60-marks percentile page covers this lower score range context.,
/site/blog/80-percentile-in-jee-mains,dropped,80-percentile-in-jee-mains,,,/site/blog/jee-mains-marks-vs-percentile,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/80-percentile-in-jee-mains,dropped,80-percentile-in-jee-mains,,,/site/blog/college-predictor-jee-mains,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/abroad-education-loan-balance-transfer-to-sbi,llm-skipped,abroad-education-loan-balance-transfer-to-sbi,,,/site/blog/credila-overseas-education-loan,skip,bridge,,,,No eligible paragraph discusses Credila or positions a competing NBFC lender as the subject; inserting it would be category-adjacent at best and forced.,
/site/blog/abroad-education-loan-balance-transfer-to-sbi,planned,abroad-education-loan-balance-transfer-to-sbi,post-body,29.0,/site/blog/bank-of-baroda-vs-sbi-abroad-education-loan,insert,bridge,study abroad,"A loan transfer to SBI for study abroad typically requires tangible collateral security (e.g., property) worth at least 100% of the loan amount.","A loan transfer to SBI for [study abroad](/site/blog/bank-of-baroda-vs-sbi-abroad-education-loan) typically requires tangible collateral security (e.g., property) worth at least 100% of the loan amount.","The sentence discusses a key condition of transferring an abroad education loan to SBI, which aligns with the target page comparing Bank of Baroda vs SBI abroad education loans.",
/site/blog/abroad-education-loan-balance-transfer-to-sbi,planned,abroad-education-loan-balance-transfer-to-sbi,post-body,9.0,/site/blog/sbi-education-loan,insert,bridge,SBI Education Loan 2025,"As India's largest public sector bank, SBI is known for a robust and transparent process with minimal hidden charges.","As India's largest public sector bank, SBI is known for a robust and transparent process with minimal hidden charges (see [SBI Education Loan 2025](/site/blog/sbi-education-loan)).","Wraps a parenthetical with a distinctive title phrase at a punctuation boundary, keeping the original sentence intact.",
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/education-loan-for-md-ms-in-india,skip,bridge,,,,"No paragraph discusses MD/MS programs in India; the post is about abroad education loans in Mumbai, with no sentence where this fits without being category-adjacent only.",
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/education-loan-for-bsc-nursing,skip,bridge,,,,No paragraph mentions BSc Nursing or nursing courses; the target concept is not discussed anywhere in the eligible paragraphs.,
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/education-loan-in-kolkata-for-abroad,skip,bridge,,,,"The post is Mumbai-specific; no paragraph discusses Kolkata or other cities, so no natural placement exists.",
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/abroad-education-loan-in-vijayawada,skip,bridge,,,,"The post is Mumbai-specific; Vijayawada is not discussed in any eligible paragraph, making any insertion artificial.",
/site/blog/abroad-education-loan-in-mumbai,dropped,abroad-education-loan-in-mumbai,,,/site/blog/education-loan-comparison,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/abroad-education-loan-in-mumbai,planned,abroad-education-loan-in-mumbai,post-body,46.0,/site/blog/education-loan-for-mba-abroad,insert,bridge,education loan for MBA abroad,Applying for an abroad education loan in Mumbai involves submitting specific documents to facilitate the approval process.,Applying for an abroad education loan in Mumbai (including an [education loan for MBA abroad](/site/blog/education-loan-for-mba-abroad)) involves submitting specific documents to facilitate the approval process.,"P17 discusses abroad education loan applications broadly, and MBA abroad is a common use case among Mumbai students seeking overseas loans.",
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/abroad-education-loan-from-multiple-lenders-guide,skip,bridge,,,,No eligible paragraph discusses borrowing from multiple lenders; the content focuses on single-lender comparisons and application steps.,
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/college-fees-with-education-loan,skip,bridge,,,,P17 is already used for target 1; no other paragraph discusses college fees directly without risking a second insertion in the same paragraph.,
/site/blog/abroad-education-loan-in-mumbai,planned,abroad-education-loan-in-mumbai,post-body,2.0,/site/blog/bank-of-india-education-loan-for-abroad,insert,bridge,Bank of India education loan for abroad,"In Mumbai, several banks offer tailored education loan products to meet the diverse needs of students.","In Mumbai, several banks (including [Bank of India education loan for abroad](/site/blog/bank-of-india-education-loan-for-abroad)) offer tailored education loan products to meet the diverse needs of students.","P2 discusses banks in Mumbai offering education loans, making Bank of India a directly relevant and natural addition.",
/site/blog/abroad-education-loan-in-mumbai,llm-skipped,abroad-education-loan-in-mumbai,,,/site/blog/education-loan-in-indore,skip,bridge,,,,No paragraph in the source post discusses Indore or other cities; inserting a city-specific link would be off-topic for a Mumbai-focused article.,
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/education-loan-for-bsc-nursing,skip,bridge,,,,No paragraph discusses BSc Nursing or nursing-specific loans; category-adjacent only.,
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/abroad-education-loan-in-guntur,skip,bridge,,,,"No paragraph discusses Guntur or Andhra Pradesh; purely geographic category-adjacent, no natural fit.",
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/education-loan-for-poland,skip,bridge,,,,No paragraph discusses Poland or loans for Poland; no wrappable phrase exists.,
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/education-loan-for-mcom,skip,bridge,,,,No paragraph discusses MCom or postgraduate commerce courses; category-adjacent only.,
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/education-loan-for-bcom-students,skip,bridge,,,,No paragraph discusses BCom students or undergraduate commerce courses; the post focuses on abroad loans broadly with no natural sentence to anchor this.,
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/top-education-loan-in-manipur,skip,bridge,,,,Manipur education loans are not discussed anywhere in the eligible paragraphs; inserting would be purely category-adjacent with no thematic hook.,
/site/blog/abroad-education-loan-in-vadodara,llm-skipped,abroad-education-loan-in-vadodara,,,/site/blog/how-to-get-an-education-loan-in-telangana,skip,bridge,,,,Telangana is not mentioned or discussed in any eligible paragraph; the post is Vadodara/Gujarat-specific and no sentence naturally connects to Telangana loans.,
/site/blog/abroad-education-loan-in-vadodara,dropped,abroad-education-loan-in-vadodara,,,/site/blog/education-loan-to-study-in-spain,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/education-loan-for-md-ms-in-india,skip,bridge,,,,No paragraph discusses MD/MS or medical education; concept is not present in any eligible paragraph.,
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/education-loan-in-kolkata-for-abroad,skip,bridge,,,,The post is about Vijayawada; no paragraph discusses Kolkata or makes a city comparison that would naturally anchor this link.,
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/abroad-education-loan-in-mumbai,skip,bridge,,,,No paragraph discusses Mumbai or makes a city-level comparison where this link would fit naturally without being forced.,
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/education-loan-for-mba-abroad,skip,bridge,,,,No paragraph specifically discusses MBA abroad; the content covers general abroad education loans without singling out MBA programs.,
/site/blog/abroad-education-loan-in-vijayawada,planned,abroad-education-loan-in-vijayawada,post-body,43.0,/site/blog/nbfc-education-loan,insert,bridge,NBFC education loan,"As of 2025, interest rates for education loans to study abroad typically range between  9% and 14% per annum , depending on various factors such as the lender, loan amount, and applicant's profile.","As of 2025, interest rates for education loans to study abroad typically range between  9% and 14% per annum , depending on various factors such as the lender (including [NBFC education loan](/site/blog/nbfc-education-loan) providers), loan amount, and applicant's profile.","P13 discusses lenders and interest rates for abroad education loans, directly matching the NBFC education loan page topic; the anchor wraps a new parenthetical item beside 'lender' at a punctuation boundary.",
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/abroad-education-loan-from-multiple-lenders-guide,skip,bridge,,,,No paragraph discusses borrowing from multiple lenders; the concept is not present in any eligible paragraph.,
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/college-fees-with-education-loan,skip,bridge,,,,No eligible paragraph discusses using an education loan to cover college fees specifically; the concept is not present in the eligible paragraphs.,
/site/blog/abroad-education-loan-in-vijayawada,llm-skipped,abroad-education-loan-in-vijayawada,,,/site/blog/education-loan-in-indore,skip,bridge,,,,The post is about Vijayawada; no paragraph discusses Indore or contextually relates to that city's loans.,
/site/blog/abroad-education-loan-in-vijayawada,dropped,abroad-education-loan-in-vijayawada,,,/site/blog/education-loan-comparison,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/abroad-education-loan-in-visakhapatnam-complete,llm-skipped,abroad-education-loan-in-visakhapatnam-complete,,,/site/blog/abroad-education-loan-in-chandigarh,skip,bridge,,,,"No paragraph discusses abroad education loans in other cities; the Chandigarh page is only category-adjacent, not topically discussed in any eligible paragraph.",
/site/blog/abroad-education-loan-in-visakhapatnam-complete,llm-skipped,abroad-education-loan-in-visakhapatnam-complete,,,/site/blog/education-loan-to-study-in-france,skip,bridge,,,,No eligible paragraph discusses studying in France or any specific country destination; inserting here would be category-adjacent only.,
/site/blog/abroad-education-loan-in-visakhapatnam-complete,planned,abroad-education-loan-in-visakhapatnam-complete,post-body-2nd-half,49.0,/site/blog/gap-certificate-for-education-loan,insert,bridge,gap certificate,Here's a clear checklist of documents you'll need to ensure your loan application process is faster and smoother.,Here's a clear checklist of documents (including a [gap certificate](/site/blog/gap-certificate-for-education-loan)) you'll need to ensure your loan application process is faster and smoother.,"P25 is about the documents checklist for loan applications, and a gap certificate is a commonly required document, making this a natural parenthetical addition.",
/site/blog/abroad-education-loan-in-visakhapatnam-complete,planned,abroad-education-loan-in-visakhapatnam-complete,post-body-2nd-half,45.0,/site/blog/itr-requirement-for-education-loan,insert,bridge,ITR requirements,"Curious about required documents and how to increase your chances of approval? Our article on  Education Loan Eligibility, Interest Rates and How to Apply  details everything you need.","Curious about required documents (including [ITR requirements](/site/blog/itr-requirement-for-education-loan)) and how to increase your chances of approval? Our article on  Education Loan Eligibility, Interest Rates and How to Apply  details everything you need.","P21 is explicitly about required documents for education loans, and ITR is a key document requirement, fitting naturally as a parenthetical.",
/site/blog/abroad-education-loan-in-visakhapatnam-complete,planned,abroad-education-loan-in-visakhapatnam-complete,post-body-2nd-half,2.0,/site/blog/union-bank-abroad-education-loan,insert,bridge,Union Bank of India,Note: Andhra Bank and Corporation Bank merged into Union Bank of India in 2020.,Note: Andhra Bank and Corporation Bank merged into [Union Bank of India](/site/blog/union-bank-abroad-education-loan) in 2020.,"P4 directly discusses the Union Bank merger, and the bank name is an existing wrappable phrase.",
/site/blog/aditya-birla-education-loan,llm-skipped,aditya-birla-education-loan,,,/site/blog/icici-education-loan,skip,bridge,,,,No paragraph discusses ICICI or a comparable private bank loan product that would make this link topically grounded rather than merely category-adjacent.,
/site/blog/aditya-birla-education-loan,llm-skipped,aditya-birla-education-loan,,,/site/blog/sbi-education-loan,skip,bridge,,,,No paragraph discusses SBI or government bank education loans in a way that makes this link naturally relevant rather than generic category placement.,
/site/blog/aditya-birla-education-loan,llm-skipped,aditya-birla-education-loan,,,/site/blog/bank-of-india-education-loan,skip,bridge,,,,No paragraph discusses Bank of India or compares multiple lenders in a way that grounds this link topically.,
/site/blog/aditya-birla-education-loan,planned,aditya-birla-education-loan,post-body-2nd-half,1.0,/site/blog/education-loan-for-pilot-training,insert,bridge,pilot training,Aditya Birla Education Loan pays for all the major expenses so that the student can pay complete attention to their studies.,Aditya Birla Education Loan pays for all the major expenses (including [pilot training](/site/blog/education-loan-for-pilot-training)) so that the student can pay complete attention to their studies.,"P33 is about expenses covered by the loan, and pilot training is a distinctive course expense that fits naturally as a parenthetical example of major expenses covered.",
/site/blog/aditya-birla-education-loan,planned,aditya-birla-education-loan,post-body,3.0,/site/blog/education-loan-for-mbbs-in-russia,insert,bridge,MBBS in Russia,The Aditya Birla Education Loan finances several Indian and international courses and programs.,The Aditya Birla Education Loan finances several Indian and international courses and programs (including [MBBS in Russia](/site/blog/education-loan-for-mbbs-in-russia)).,"P2 explicitly discusses financing Indian and international courses, making MBBS in Russia a natural parenthetical example of an international program covered.",
/site/blog/aditya-birla-education-loan,llm-skipped,aditya-birla-education-loan,,,/site/blog/union-bank-education-loan,skip,bridge,,,,No paragraph discusses Union Bank or meaningfully compares multiple lenders in a way that would make a Union Bank link natural and topically grounded rather than category-adjacent.,
/site/blog/aditya-birla-education-loan,llm-skipped,aditya-birla-education-loan,,,/site/blog/education-loan-for-bba-students,skip,bridge,,,,No paragraph specifically discusses BBA programs or undergraduate business courses; the post covers general eligibility and features without naming specific programs that would make this link topicall,
/site/blog/aditya-birla-education-loan,llm-skipped,aditya-birla-education-loan,,,/site/blog/education-loan-in-maharashtra,skip,bridge,,,,"No paragraph discusses Maharashtra-specific lending, regional eligibility, or state-level loan schemes; inserting a Maharashtra link would be purely category-adjacent with no topical grounding in any ",
/site/blog/aeee-exam-pattern,llm-skipped,aeee-exam-pattern,,,/site/blog/kiitee-exam-pattern,skip,bridge,,,,No paragraph discusses KIITEE or a concept specific enough to KIITEE to justify a natural insertion without forcing it.,
/site/blog/aeee-exam-pattern,planned,aeee-exam-pattern,post-body,3.0,/site/blog/viteee-exam-pattern,insert,bridge,marking schemes,"The 2026 pattern introduces key changes in question distribution, marking schemes, and subject-wise weightage, making it essential to stay updated.","The 2026 pattern introduces key changes in question distribution, [marking schemes](/site/blog/viteee-exam-pattern), and subject-wise weightage, making it essential to stay updated.","P3 discusses the exam pattern including marking schemes, which is a core concept in the VITEEE Exam Pattern page title.",
/site/blog/aeee-exam-pattern,llm-skipped,aeee-exam-pattern,,,/site/blog/nmat-exam-pattern-2025,skip,bridge,,,,NMAT is a management exam unrelated to the engineering entrance content discussed in any eligible paragraph.,
/site/blog/aeee-exam-pattern,llm-skipped,aeee-exam-pattern,,,/site/blog/met-exam-pattern,skip,bridge,,,,"No paragraph discusses MET or a concept specific enough to MET to allow a natural, rule-compliant insertion.",
/site/blog/aeee-exam-pattern,dropped,aeee-exam-pattern,,,/site/blog/jee-mains-marking-scheme,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/aeee-exam-pattern,llm-skipped,aeee-exam-pattern,,,/site/blog/neet-pg-exam-pattern,skip,bridge,,,,NEET PG is a postgraduate medical exam; no paragraph in this engineering-focused post discusses content relevant to it.,
/site/blog/aeee-exam-pattern,llm-skipped,aeee-exam-pattern,,,/site/blog/complete-guide-to-micat-exam-pattern,skip,bridge,,,,MICAT is a management entrance exam; no paragraph discusses management exams or content adjacent enough to place this naturally.,
/site/blog/aeee-exam-pattern,dropped,aeee-exam-pattern,,,/site/blog/mht-cet-paper-pattern,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/aeee-exam-pattern,dropped,aeee-exam-pattern,,,/site/blog/nest-exam-dates,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/ts-eamcet-rank-predictor,skip,bridge,,,,TS EAMCET is not discussed in any eligible paragraph; inserting it would be category-adjacent at best.,
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/josaa-rank-predictor-2025,skip,bridge,,,,JoSAA rank prediction is not discussed in any eligible paragraph; no natural integration point exists.,
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/ap-eamcet-college-predictor,skip,bridge,,,,AP EAMCET college prediction is not discussed in any eligible paragraph; inserting it would be purely category-adjacent.,
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/kiitee-rank-predictor,skip,bridge,,,,KIITEE is not mentioned or discussed in any eligible paragraph; no natural integration point exists.,
/site/blog/aeee-rank-predictor,planned,aeee-rank-predictor,post-body,17.0,/site/blog/viteee-rank-predictor,insert,bridge,VITEEE rank predictor,The AEEE Rank Predictor 2026 helps ease that confusion by giving you a realistic estimate of where you stand based on your expected marks.,"The AEEE Rank Predictor 2026 helps ease that confusion by giving you a realistic estimate of where you stand based on your expected marks, as does the [VITEEE rank predictor](/site/blog/viteee-rank-predictor) for VIT aspirants.","Wraps a new parallel item at a punctuation boundary, naming a directly related rank predictor tool without any forbidden connector phrase.",
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/keam-college-predictor,skip,bridge,,,,"KEAM is a Kerala-specific engineering entrance exam; no paragraph in the post discusses KEAM or Kerala admissions, making any insertion category-adjacent at best.",
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/punjab-neet-rank-predictor-2025,skip,bridge,,,,NEET and Punjab medical admissions are not discussed anywhere in this AEEE-focused post; no natural or topically valid insertion point exists.,
/site/blog/aeee-rank-predictor,llm-skipped,aeee-rank-predictor,,,/site/blog/wbjee-college-predictor,skip,bridge,,,,WBJEE is a West Bengal state engineering exam with no mention or relevance in any paragraph of this post; insertion would be purely category-adjacent.,
/site/blog/aeee-rank-predictor,dropped,aeee-rank-predictor,,,/site/blog/bitsat-college-predictor,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/neet-pg-rank-predictor,skip,bridge,,,,"No paragraph discusses NEET PG rank prediction; the post is entirely about NEET UG/AIIMS, so placing a NEET PG link would be category-adjacent at best and misleading.",
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/karnataka-neet-rank-predictor-2025,skip,bridge,,,,"No paragraph discusses Karnataka state quota or Karnataka-specific rank prediction; AIIMS has no state quota, making this link irrelevant to any eligible paragraph.",
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/kerala-neet-rank-predictor-2025,skip,bridge,,,,"No paragraph discusses Kerala state quota or Kerala-specific rank prediction; the post focuses on central institutes with no state quota, so no natural placement exists.",
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/punjab-neet-rank-predictor-2025,skip,bridge,,,,"No paragraph discusses Punjab state quota or Punjab-specific rank prediction; AIIMS admits through central counselling only, so no eligible paragraph covers this concept.",
/site/blog/aiims-rank-predictor-2025,dropped,aiims-rank-predictor-2025,,,/site/blog/mbbs-rank-predictor,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/ap-eamcet-college-predictor,skip,bridge,,,,"AP EAMCET is a state engineering entrance exam; the source post focuses entirely on NEET UG and AIIMS MBBS admissions, so no paragraph discusses AP EAMCET concepts.",
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/andhra-pradesh-neet-rank-predictor-2025,skip,bridge,,,,No paragraph discusses Andhra Pradesh state quota or AP-specific NEET rank prediction; inserting it would be category-adjacent only.,
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/kiitee-rank-predictor,skip,bridge,,,,KIITEE is a private university engineering entrance exam with no conceptual overlap with AIIMS NEET UG rank prediction content in any paragraph.,
/site/blog/aiims-rank-predictor-2025,llm-skipped,aiims-rank-predictor-2025,,,/site/blog/viteee-rank-predictor,skip,bridge,,,,VITEEE is a private engineering entrance exam; no paragraph in this MBBS/AIIMS-focused post discusses it or a related concept.,
/site/blog/aiims-rank-predictor-2025,dropped,aiims-rank-predictor-2025,,,/site/blog/maharashtra-neet-rank-predictor,skip,bridge,,,,,dropped: failed validation after retry or no decision returned
/site/blog/alternate-options-after-the-jee-mains-exam,planned,alternate-options-after-the-jee-mains-exam,post-body,12.0,/site/blog/jee-mains-counselling-2024,insert,bridge,JEE Mains counselling,"Whether aiming for premier engineering institutions, exploring alternative fields, seeking international opportunities, serving the nation, or taking a gap year for further preparation, each option has its merits and considerations.","Whether aiming for premier engineering institutions (including [JEE Mains counselling](/site/blog/jee-mains-counselling-2024)), exploring alternative fields, seeking international opportunities, serving the nation, or taking a gap year for further preparation, each option has its merits and considerations.","The closing paragraph summarises all post-JEE paths including admission to premier institutions, making counselling a natural parenthetical addition.",
/site/blog/alternate-options-after-the-jee-mains-exam,planned,alternate-options-after-the-jee-mains-exam,post-body,11.0,/site/blog/college-predictor-jee-mains,insert,bridge,college predictor for JEE Mains,"For students whose ultimate goal is admission to the IITs or NITs and are willing to invest additional time and effort, taking a gap year for focused preparation might be a viable option.","For students whose ultimate goal is admission to the IITs or NITs (use a [college predictor for JEE Mains](/site/blog/college-predictor-jee-mains) to set targets) and are willing to invest additional time and effort, taking a gap year for focused preparation might be a viable option.","P10 directly discusses aiming for IITs/NITs, and a college predictor tool is directly relevant to setting admission targets.",
/site/blog/alternate-options-after-the-jee-mains-exam,llm-skipped,alternate-options-after-the-jee-mains-exam,,,/site/blog/jee-mains-registration,skip,bridge,,,,"No paragraph discusses registration dates or form-filling; the post is about post-exam alternatives, so this target has no natural home.",
