source_url,source_tier,source_category,target_url,target_tier,target_category,anchor_text,suggested_position,rationale,refined_anchor,refined_source
/site/blog/affidavit-for-education-loan,T2,Education Loans,/site/blog/how-education-loan-works,T1P,Education Loans,how education loans work,intro,category-pillar,how education loans work,haiku
/site/blog/affidavit-for-education-loan,T2,Education Loans,/site/blog/education-loan-without-co-applicant,T1P,Education Loans,education loan without a co-applicant,mid,category-pillar,education loan without a co-applicant,haiku
/site/blog/affidavit-for-education-loan,T2,Education Loans,/site/blog/sbi-education-loan-college-list,T1,Education Loans,check SBI's college list,mid,sibling-post,SBI's approved college list,haiku
/site/blog/affidavit-for-education-loan,T2,Education Loans,/site/blog/sbi-education-loan,T1,Education Loans,SBI's education loan scheme,pre-conclusion,sibling-post,SBI education loan,haiku
/site/blog/affidavit-for-education-loan,T2,Education Loans,/site/education-loan,T0,Money Page,our education loan guide,conclusion,t0-money-page,education loan options at Propelld,haiku
/site/blog/afmc-mbbs-fees-structure,T4,Courses & Careers,/site/blog/aakash-institute-fee-structure,T1P,Courses & Careers,cost of Aakash coaching,intro,category-pillar,Aakash Institute fee structure,haiku
/site/blog/afmc-mbbs-fees-structure,T4,Courses & Careers,/site/blog/pharm-d-course,T1P,Courses & Careers,Pharm D fees and eligibility,mid,category-pillar,the Pharm D course,haiku
/site/blog/afmc-mbbs-fees-structure,T4,Courses & Careers,/site/blog/top-bams-colleges-in-pune,T2,Courses & Careers,top BAMS colleges in Pune,mid,sibling-post,top BAMS colleges in Pune,haiku
/site/blog/afmc-mbbs-fees-structure,T4,Courses & Careers,/site/blog/top-bsc-nursing-colleges-in-bangalore,T3,Courses & Careers,best BSc Nursing colleges in Bangalore,pre-conclusion,sibling-post,top BSc Nursing colleges in Bangalore,haiku
/site/blog/after-neet-result,T4,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,Allen Kota JEE + NEET coaching fees,intro,category-pillar,Allen Kota coaching costs,haiku
/site/blog/after-neet-result,T4,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,TNEA college and branch cutoffs,mid,category-pillar,TNEA college and branch cutoffs,haiku
/site/blog/after-neet-result,T4,Exams & Counselling,/site/blog/viteee-exam-cutoff,T3,Exams & Counselling,VITEEE exam cutoff,mid,sibling-post,VITEEE exam cutoff,haiku
/site/blog/after-neet-result,T4,Exams & Counselling,/site/blog/eamcet-marks-vs-rank,T3,Exams & Counselling,EAMCET rank prediction,pre-conclusion,sibling-post,EAMCET marks vs rank,haiku
/site/blog/aiapget-admit-card,T4,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,current Allen Kota fees,intro,category-pillar,Allen Kota coaching costs,haiku
/site/blog/aiapget-admit-card,T4,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,check TNEA cutoff,mid,category-pillar,TNEA cutoff details,haiku
/site/blog/aiapget-admit-card,T4,Exams & Counselling,/site/blog/viteee-exam-cutoff,T3,Exams & Counselling,check VITEEE cutoff,mid,sibling-post,VITEEE exam cutoff,haiku
/site/blog/aiapget-admit-card,T4,Exams & Counselling,/site/blog/eamcet-marks-vs-rank,T3,Exams & Counselling,understand your EAMCET rank,pre-conclusion,sibling-post,EAMCET marks vs rank,haiku
/site/blog/aiapget-exam-2025,T4,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,Allen Career Institute fee structure,intro,category-pillar,Allen Kota fees,haiku
/site/blog/aiapget-exam-2025,T4,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,TNEA cutoff guide,mid,category-pillar,TNEA cutoff details,haiku
/site/blog/aiapget-exam-2025,T4,Exams & Counselling,/site/blog/viteee-exam-cutoff,T3,Exams & Counselling,VITEEE cutoff scores,mid,sibling-post,VITEEE cutoff scores,haiku
/site/blog/aiapget-exam-2025,T4,Exams & Counselling,/site/blog/eamcet-marks-vs-rank,T3,Exams & Counselling,EAMCET marks vs rank,pre-conclusion,sibling-post,understand your EAMCET rank,haiku
/site/blog/aiapget-result,T4,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,Allen Kota JEE + NEET coaching fees,intro,category-pillar,Allen Kota coaching costs,haiku
/site/blog/aiapget-result,T4,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,check TNEA cutoff,mid,category-pillar,category-wise TNEA cutoffs,haiku
/site/blog/aiapget-result,T4,Exams & Counselling,/site/blog/viteee-exam-cutoff,T3,Exams & Counselling,cutoff for VIT admission,mid,sibling-post,VITEEE exam cutoff,haiku
/site/blog/aiapget-result,T4,Exams & Counselling,/site/blog/eamcet-marks-vs-rank,T3,Exams & Counselling,EAMCET marks and rank breakdown,pre-conclusion,sibling-post,EAMCET marks vs rank,haiku
